#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#, ,#,#
#,#, , , , ,#,#,#,#, , , , , ,#,#, ,#,#
 ,#,#,#,#, , , , ,#, ,#,#,#, ,#, , , , 
 ,#,#,#,#, ,#,#, ,#, ,#,#,#, ,#, ,#,#,#
 ,#,#,#, , ,#,#, ,#, ,#,#,#, ,#, ,#,#,#
 ,#,#,#,#,#,#, , , , , , ,#, ,#, ,#,#,#
 ,#,#,#,#,#,#, ,#,#,#,#, ,#,#,#, ,#,#,#
 ,#, , , ,#,#, ,#,#,#,#, ,#,#,#, ,#, ,#
 ,#, ,#,#,#,#, ,#,#,#,#, ,#,#,#, ,#, ,#
 , , ,#,#,#,#, , , ,#,#, ,#,#,#, ,#, ,#
#, ,#,#,#,#,#, ,#, ,#,#, ,#,#,#, ,#, ,#
#, ,#,#,#, , , ,#, ,#,#, , , , , ,#, ,#
#, ,#,#, , ,#,#,#, ,#,#,#,#,#,#, ,#, ,#
 , ,#,#,#, ,#,#, , , ,#,#,#,#,#, , , ,#
#, ,#,#,#, ,#,#, ,#, ,#,#,#,#,#, ,#, ,#
#, , , , , ,#,#, ,#, ,#, , , , , ,#, ,#
#, ,#,#,#,#,#,#, ,#, ,#, ,#,#,#,#,#, ,#
#, ,#,#,#,#, , , ,#, ,#, ,#,#,#,#,#,#,#
 , ,#,#,#,#, ,#,#,#, , , , , , , , , ,#
#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#
